dead_line,name,primary_supervisor,project_description,project_link,supervisor_email
18 July 2022,Negotiating Resilience in a New Antarctic Tourism Context,A/Prof Anne Hardy,"Applicants will be considered for a Research Training Program (RTP) scholarship or Tasmania Graduate Research Scholarship (TGRS) which, if successful, provides:",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/negotiating-resilience-in-a-new-antarctic-tourism-context,https://www.utas.edu.au/profiles/staff/sociology/anne-hardy
18 July 2022,Mothering in homelessness,Dr Catherine Robinson,"Homelessness at any life stage is traumatic and increases vulnerability to poor health and mental health and violent victimisation.  Homelessness for pregnant mothers and for mothers who may or may not have custody of their children presents unique stressors.  Not only do mothers need to negotiate the risks of homelessness, they must also negotiate the potential risk of childlessness which stems from the threat that they may not be considered by the State as a suitable parent able to provide adequate care and housing for children in their custody or children with whom they hope to be reunified.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/mothering-in-homelessness,https://www.utas.edu.au/profiles/staff/social-sciences/catherine-robinson
18 July 2022,Literacy as a pathway to resilience and desistence,Dr Isabelle Bartkowiak-Théron,"Literacy is often discussed in terms of educational achievement. This project departs from this, and unpacks literacy as a social determinant of public health, examining how low functioning literacy impacts on deliquency and criminal pathways. With new reports that a significant portion of the Australian prison population does not know how to read to a level above year 5, this project considers the need to shift our understanding of literacy from part of education criteria to a more fundamental social determinant of health and wellbeing.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/literacy-as-a-pathway-to-resilience-and-desistence,https://www.utas.edu.au/profiles/staff/tiles/isabelle-bartkowiak-theron
18 July 2022,Intimate partner violence and children,Dr Catherine Robinson,Currently in Australia there is a turn to recognising children and young people's unique experiences of family and domestic violence.  This includes more adequately exploring the significant engagement of children and young people in managing the direct and collateral impacts of intimate partner violence perpetrated between their caregivers.,https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/intimate-partner-violence-and-children,https://www.utas.edu.au/profiles/staff/social-sciences/catherine-robinson
18 July 2022,Homeless children and out-of-home care,Dr Catherine Robinson,"Child safety systems across Australia are struggling with increasing caseloads and ever-mounting pressure on the out-of-home care system.  Similarly, numbers of children presenting alone to Specialist Homelessness Services are increasing.  Homelessness services are also regularly providing care for children formally ordered into out-of-home care though they may be neither designed nor funded to provide the level of care children need.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/homeless-children-and-out-of-home-care,https://www.utas.edu.au/profiles/staff/social-sciences/catherine-robinson
18 July 2022,"Health literacy, resilience &amp; desistence",Dr Isabelle Bartkowiak-Théron,"Australia has been harshly criticised for its rising incarceration and remand rates (Productivity Commission, 2021; Justice Reform Initiative, 2020). At the same time the Tasmanian government decided to reimagine the youth detention centre in the North of the state, which warrants us to consider desistence mechanisms for youth at risk of engaging in delinquent behaviours.","https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/health-literacy,-resilience-and-desistence",https://www.utas.edu.au/profiles/staff/tiles/isabelle-bartkowiak-theron
18 July 2022,Feeding Babies in Contemporary Australian Families,Dr Emily Hansen,"We are seeking PhD candidates to contribute to an ongoing interdisciplinary research program that investigates the social aspects of feeding babies and young children (this includes breastfeeding and other types of feeding such as infant formula and family foods). PhD candidates will work with supervisors to develop projects that contribute to the research program in one or more of the following ways. Talking with Australian parents about their experiences of infant feeding, their infant feeding practices and how infant feeding transitions and challenges are negotiated and addressed. Developing and administering questionnaires about parental attitudes towards breastfeeding and infant feeding practices. Analysing the impact of relevant discourses, services and products on how babies and young children are fed. For example, this could include hospital policies, public health information, parent support services, social media, bottles, dummies, breast pumps, baby food etc. There is considerable scope for the student to direct the focus of their own PhD research. The successful candidate will receive training in data collection and data analysis (including the use of contemporary analytic software applications) and develop their interdisciplinary research networks and connections. They will be supported to publish and present their research in academic and policy/practice relevant forums. The knowledge gained will be of national and international significance due to the importance of nutrition in early childhood.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/feeding-babies-in-contemporary-australian-families,https://www.utas.edu.au/profiles/staff/social-sciences/emily-hansen
18 July 2022,Family Services Program Development,A/Prof Sonya Stanford,"Applicants will be considered for a Research Training Program (RTP) scholarship or Tasmania Graduate Research Scholarship (TGRS) which, if successful, provides:",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/family-services-program-development,https://www.utas.edu.au/profiles/staff/social-work/sonya-stanford
18 July 2022,"Evidence-based, intelligence-led, and knowledge-based policing: Identifying better practices for creating public safety and preparing police for complexity",Prof Nicole Asquith,"While policing may appear unchanged in the modern era, over the last 50 years policing has been transformed by a range of strategies aimed at preventing crime and facilitating crime control. Starting with the innovations of community policing in the 1960s, policing organisations in western democracies have sought to change the relationships between policing organisations and the communities they serve as a means to reduce crime. Yet, other more recent innovations in policing, such as problem-oriented and intelligence-led approaches, have in some cases damaged the trust in police and deepened existing inequalities.","https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/evidence-based,-intelligence-led,-and-knowledge-based-policing-identifying-better-practices-for-creating-public-safety-and-preparing-police-for-complexity",https://www.utas.edu.au/profiles/staff/tiles/nicole-asquith
18 July 2022,Disability in criminal justice,Prof Nicole L. Asquith,"Interactions with the criminal justice system are often stressful, and this stress can be compounded when a person has a disability that may affect their capacity to self-advocate for their rights and to be aware of the potential consequences of such interactions.  For example, the caution about detainee rights given by police is complex in meaning and often delivered at rapid pace in difficult circumstances.  A person with a disability that affects comprehension may agree to be questioned under caution without fully understanding the consequences, resulting in an erosion of their rights.  Given the over-representation of people with disability in correctional facilities (which is over 80%), investigation into how people can be better supported in interactions with police and the wider criminal justice system is warranted.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/disability-in-criminal-justice,https://www.utas.edu.au/profiles/staff/tiles/nicole-asquith
18 July 2022,Culturally Responsive Health Care,Dr Kim McLeod,"Australian health professions increasingly expect practitioners to be culturally safe and responsive in their health care practice. In research and education efforts on this topic, there is often an emphasis on health professionals from dominant groups learning to interact with 'diverse' patient populations. This project aims to listen to health professionals from minoritised backgrounds in Tasmania to seek their insights about culturally safe and responsive health care. It will explore how the specificity of context, place and the intersectional identities of health professionals and patients are active in creating culturally safe health care environments. This project will contribute scholarly knowledge which can inform curriculum and teaching practice, and health profession practice.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/culturally-responsive-health-care,https://www.utas.edu.au/profiles/staff/sociology/kim-mcleod
18 July 2022,Building resilient tourism regions through technology,A/Prof Anne Hardy,"COVID-19 has had profound impacts upon the tourism industry. While some regions are suffering, others are flourishing as tourists disperse in different ways and react to COVID-19 lockdowns, border closures and outbreaks. As a result, debate has emerged over what a sustainable tourism future should look like, as well as where and how tourists should travel through Tasmania. Technology offers a means to mitigate these debates.  When used ethically it can assist in understanding where and how tourist travel, it can enhance experiences in destinations, and it can encourage behaviour change. Ultimately it has the ability to build more resilient tourism regions. This project seeks to build upon the highly successful Tourism Tracer project and use technology as a means through which the visitor experience can be augmented, regional dispersal can be monitored, and behaviour change can be encouraged to enhance more sustainable outcomes in regional Tasmania. We are seeking students with a passion for tourism who can assess, design, evaluate or augment the Tourism Tracer technology, which is a sensor based technology that includes use location based tracking, surveys and real time data visualisations.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/building-resilient-tourism-regions-through-technology,https://www.utas.edu.au/profiles/staff/sociology/anne-hardy
18 July 2022,Barriers in Police Use of the Translating and Interpreting Service,Dr Isabelle Bartkowiak-Théron,"Australia is, fundamentally, a multicultural country. However, multiculturalism in policing is a long-term, yet to be fully met goal, with police organisations  constantly striving to communicate better, and reach out more to multicultural groups. It has however been reported that police officers rarely reach out to translation services, either face to face, over the phone, or online. There are multiple reasons for this, but they have never been fully explored. In this project, the candidate will explore the nature and extent of the barriers for police officers to use the Translating and Interpreting Service (TIS).",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/barriers-in-police-use-of-the-translating-and-interpreting-service,https://www.utas.edu.au/profiles/staff/tiles/isabelle-bartkowiak-theron
18 July 2022,Australians’ Knowledge of Antarctica and the Southern Ocean,Prof Bruce Tranter,"Applicants will be considered for a Research Training Program (RTP) scholarship or Tasmania Graduate Research Scholarship (TGRS) which, if successful, provides:",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/australians-knowledge-of-antarctica-and-the-southern-ocean,https://www.utas.edu.au/profiles/staff/sociology/bruce-tranter
18 July 2022,Reducing harm from novel psychoactives,A/Prof Raimondo Bruno,"Over the past decade there has been an explosion of entirely new substances released into the recreational drug market, coined “Novel Psychoactive Substances” (NPS). Most of these have had no human safety testing; some have been embraced by consumers (e.g. mephedrone), many have been short-lived, some have had devastating consequences (e.g. deaths from potent fentanyl analogues). This project aims to 1. Develop new consumer focused tools to understand both the desirable and undesirable effects of particular substances, with an aim of predicting which substances will expand in use and which will ‘fail fast’, which is helpful for focussing drug market monitoring and early warning health systems; 2. Develop databases and resources for consumers and health agencies that profile subjective effects of NPS and provide health evidence and harm reduction advice. You will collaborate with international experts in this field and interact with multiple national projects as part of this work.",https://www.utas.edu.au/research/degrees/available-projects/projects/psychological-sciences/reducing-harm-from-novel-psychoactives,https://www.utas.edu.au/profiles/staff/health/raimondo-bruno
18 July 2022,Making drug treatment cognition-informed,A/Prof Raimondo Bruno,"It has been estimated in 2018 that over 2% of the global population experienced a substance use disorder. Treatment outcomes for substance use disorder are not excellent, with a relapse rate between 40-60%. Increasingly there is an awareness that cognitive functioning is a key contributor to treatment outcomes – whereby poorer levels of particular aspects of cognition are predictors of less response to treatment, earlier dropout and increased rates of relapse.",https://www.utas.edu.au/research/degrees/available-projects/projects/psychological-sciences/making-drug-treatment-cognition-informed,https://www.utas.edu.au/profiles/staff/health/raimondo-bruno
18 July 2022,Digital communication and literacy,A/Prof Nenagh Kemp,"Tasmania has literacy rates among the lowest in the country (ABS, 2012). Being functionally illiterate has a negative impact at school, on employment choice, and often on psychological wellbeing (e.g., Forrest et al., 2018). At the same time, our reliance on written language for our interactions has never been higher. Young people are constantly consuming and creating digital information, often in the form of written words.",https://www.utas.edu.au/research/degrees/available-projects/projects/psychological-sciences/digital-communication-and-literacy,https://www.utas.edu.au/profiles/staff/health/Nenagh-Kemp
18 July 2022,The nature of the early universe,Dr Krzysztof Bolejko,"Applicants will be considered for a Research Training Program (RTP) scholarship or Tasmania Graduate Research Scholarship (TGRS) which, if successful, provides:",https://www.utas.edu.au/research/degrees/available-projects/projects/physics/the-nature-of-the-early-universe,Krzysztof.Bolejko@utas.edu.au
18 July 2022,The lifecycle of supermassive black hole jets,A/Prof Stas Shabala,"Supermassive black holes residing at galaxy centres are responsible for the most energetic phenomena in the Universe. Known as Active Galactic Nuclei (AGN), these objects launch relativistic magnetohydrodynamic jets which accelerate particles to energies several orders of magnitude higher than those achievable at the Large Hadron Collider. Energy input from AGN jets has fundamentally re-shaped the cosmic history of the Universe, by regulating the heating-cooling cycles of intergalactic gas – the material used to build up stars and planets.",https://www.utas.edu.au/research/degrees/available-projects/projects/physics/the-lifecycle-of-supermassive-black-hole-jets,https://www.utas.edu.au/profiles/staff/natural-sciences/stas-shabala
18 July 2022,Temperature and growth habit in pulses,A/Prof Jim Weller,"The global demand for protein derived from plants is increasing rapidly and so is the importance in understanding and harnessing the genetic variation for adaptation to climate change and future farming systems. Phenology and plant architecture play an important role in adaptation to contrasting photo-thermal and drought environments. Daylength and temperature are primary drivers of time to flowering, and temperature also influences pod set and grain filling, critical stages for yield loss. While independent regulation of plant architecture has been observed in some pulses, pleiotropic effects of daylength sensitivity have been reported, as well as a link between light quality perception, which influences branching and height, and temperature sensing in other species.A field-based comparison of genotypes across a gradient of photo-thermal environments and water availability found that pod and seed number per unit area were the variables better associated with yield, as was the growth rate during podding-grain filling and seed number, both with genotype-dependent responses. The mechanisms and extent of genotypic diversity in the response of pulses to ambient temperature and light quality driving the balance between phenology (timing, rate and duration) and architecture is not known. An appraisal of diversity and underlying genetics is needed to define optimal combinations for breeders targeting different environments and farming systems.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/temperature-and-growth-habit-in-pulses,https://www.utas.edu.au/profiles/staff/biological-sciences/jim-weller
18 July 2022,Stress phenotyping in trees,Prof Tim Brodribb,"This project aims to develop novel approaches to identify drought stress tolerance in trees, working with world leaders in tree physiology and genetics from Australia and New Zealand. Cutting edge technology will be used to measure water stress and growth, both in the lab and the field, to search for genetic variation in these traits within species. The project will focus on radiata pine, a globally important species for softwood plantations, with scope to extend into iconic native tree species. The project is part of a broader research area, led by Scion (New Zealand Forest Research Ltd.) using remote sensing and artificial intelligence to develop new ways of phenotyping forest trees, with high precision at unprecedented scales. This will help to better understand how different genetic material performs in different environments, allowing us to better face the huge uncertainties in establishing and management of future forests in the face of climate change.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/stress-phenotyping-in-trees,https://www.utas.edu.au/profiles/staff/biological-sciences/Tim-Brodribb
18 July 2022,Evaluating the benefits of ultra-low emission wood heaters,Prof Fay Johnston,"Wood burning is a popular choice for home heating in Tasmania. The consequence is unacceptably high concentrations of air pollution during the colder months in many regions of the state, which has been clearly associated with increased rates of mortality, heart and lung diseases. Newer design ultra-low emissions (ULE) wood burning heaters could potentially offer a solution for regions where wood is a readily available cheaper heating option.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/evaluating-the-benefits-of-ultra-low-emission-wood-heaters,https://www.utas.edu.au/profiles/staff/menzies/fay-johnston
31 October 2022,"Eucalypts, microbes and invertebrates",A/Prof Mark Hovenden,"There is a need to document the drivers of poor survival of plantation trees, both in the early stages of planting and after trees have become established and suffer subsequent death. More specifically there are significant gaps in our understanding of how above- and below-ground processes interact to affect tree survival.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/eucalypts-microbes-and-invertebrates,https://www.utas.edu.au/profiles/staff/biological-sciences/Mark-Hovenden
18 July 2022,Eucalypt hybridisation and drought,Dr Rebecca Jones,"This project will investigate how hybridisation and introgression may enhance the adaptive capacity of eucalypts.  It will examine the impact of hybridisation on key physiological traits involved in resilience to drought, and how this might contribute to range expansion and future climate adaptation in this iconic Australian group.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/eucalypt-hybridisation-and-drought,https://www.utas.edu.au/profiles/staff/biological-sciences/Rebecca-Jones
18 July 2022,Conservation of plant communities in forest landscapes,A/Prof Sue Baker,"This PhD projects will survey the plant communities in Tasmania’s beautiful forests. The project will involve fieldwork in unmanaged reserves and old-growth forest, previously harvested forests and recent fire-impacted sites in a landscape ecology study. Timber harvesting and fire can have substantial impacts on native plant communities, especially for rainforest-associated species. The impacts are expected to vary between species and with disturbance type, intensity and frequency. This project will contribute to a large ARC Future Fellowship study investigating the complex trade-offs involved between biodiversity conservation and timber production. The responses to management of numerous species of plants will be linked with timber yield/revenue across contrasting management systems in a large landscape ecology study. The research aims to guide forest policy by determining the optimal mix of reserves and management to maximise plant conservation outcomes in landscapes available for timber production. Fieldwork plans will be aligned to the larger project to survey biodiversity along a disturbance/age gradient. The candidate will contribute to other aspects of project conceptualization. There may be opportunities for global collaboration to compile/analyse datasets of forestry impacts on plants; the project will involve some advanced data handling and statistical skills. This PhD project will help develop the candidate’s skills in critical thinking, project management, fieldwork, data management and analysis, writing and communication. It will prepare the student for future careers in research, or with government or non-government land management or conservation agencies.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/conservation-of-plant-communities-in-forest-landscapes,https://www.utas.edu.au/profiles/staff/biological-sciences/Sue-Baker
18 July 2022,Conservation of forest birds,A/Prof Sue Baker,"This PhD projects will survey bird communities in Tasmania’s beautiful forests. The project will involve fieldwork in unmanaged reserves and old-growth forest, previously harvested forests and recent fire-impacted sites in a landscape ecology study. Birds are affected by land-use changes impacting structure and composition of forests and many species rely on old-growth trees for nesting habitat. Different approaches to plantation and native forest timber harvesting and availability of mature forest reserves could have varying impacts on bird communities. This project will contribute to a large ARC Future Fellowship study investigating the complex trade-offs involved between biodiversity conservation and timber production. Bird species responses will be linked with timber yield/revenue data across contrasting management systems in novel approach to quantifying optimal land-use allocation. The research aims to determine the ideal mix of reserves and management to optimise bird conservation outcomes.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/conservation-of-forest-birds,https://www.utas.edu.au/profiles/staff/biological-sciences/Sue-Baker
18 July 2022,Conservation genetics of WT eagles,A/Prof Chris Burridge,"The Tasmanian population of the wedge-tailed eagle is of conservation concern. Previous conservation genetic studies of this population have been hampered by a low number of polymorphic molecular markers. This project will use next-generation DNA sequencing approaches to genotype existing tissue samples (&gt;200) to yield thousands of polymorphic molecular markers. These markers will then be used to estimate the effective population size (Ne) of this species, and to contrast this against census size estimates generated by a concurrent citizen science project. The genetic markers will also be used to investigate dispersal and residency across fine and broad spatial scales, complementing simultaneous research involving GPS-tracked eagles. Finally, assay techniques will be developed for a subset of markers such that they can be applied to degraded DNA samples representing eagle mortalities or shed feathers, addressing questions regarding the genetic provenance and parentage of individuals.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/conservation-genetics-of-wt-eagles,https://www.utas.edu.au/profiles/staff/biological-sciences/chris-burridge
18 July 2022,Behavioural evolution in Tasmanian devil,A/Prof Menna Jones,"Novel infectious diseases can cause high mortality in the host animal leading to severe population decline. Tasmanian devils have suffered more than 80% population decline across their range in the last 25 years due to a rare, fatal transmissible cancer – devil facial tumour disease (DFTD). DFTD is spread by biting and kills most devils once they reach sexual maturity as they bite each other during the mating season. Extreme adult mortality will create strong evolutionary selection pressure and we expect that both devils and their tumours will evolve towards an endemic state in which they coexist with potential recovery of the devil population. Population decline has now stabilised, and devils persist in long-diseased areas of Tasmania. Devils are evolving resistance to the disease, and their dispersal patterns, life history and behaviour are changing. There appears to be a reduction in aggression, which may reduce the chance of becoming infected.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/behavioural-evolution-in-tasmanian-devil,https://www.utas.edu.au/profiles/staff/biological-sciences/menna-jones
18 July 2022,Beetle conservation in forest landscapes,A/Prof Sue Baker,"This PhD projects will survey the diverse ground-active beetle communities in Tasmania’s beautiful forests. The project will involve fieldwork in unmanaged reserves and old-growth forest, previously harvested forests and recent fire-impacted sites in a landscape ecology study. Beetles are known to be sensitive to habitat modification by timber harvesting and wildfire. Beetle species vary widely in dispersal ability, feeding guilds and habitat requirements. Thus different approaches to native and plantation forest management could have varying impacts on beetle communities. This project will contribute to a large ARC study investigating the complex trade-offs involved between biodiversity conservation and timber production. It will investigate the characteristics of species that are resilient to particular management practices vs. those that are detrimentally impacted. The responses of numerous beetle species will be linked with timber yield/revenue data across contrasting management systems in a large landscape ecology study. The research aims to determine the ideal mix of reserves and management to optimise invertebrate conservation outcomes.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/beetle-conservation-in-forest-landscapes,https://www.utas.edu.au/profiles/staff/biological-sciences/Sue-Baker
18 July 2022,Towards Net Zero,Dr Mark Dewsbury,"Innovative thermal and hygrothermal research conducted at the University of Tasmania since 2006 has provided technical guidance for Australian regulatory and policy development. This has included technical advice for the Nationwide House Energy Rating Scheme (NatHERS), the regulator Australian Building Codes Board), State Governments and the design and construction industry.",https://www.utas.edu.au/research/degrees/available-projects/projects/architecture-and-design/towards-net-zero,https://www.utas.edu.au/profiles/staff/architecture-design/dr-mark-dewsbury
18 July 2022,Visions of house and home,Dr Georgia Lindsay,"This project studies user perceptions and experiences of house and home. It aims to contribute to knowledge for and from Tasmania on issues involving the social sustainability of housing, including such key concerns as precariousness housing, homelessness, workers’ housing, temporary and informal dwelling, substandard housing stock, and opportunistic re-use of housing.",https://www.utas.edu.au/research/degrees/available-projects/projects/architecture-and-design/visions-of-house-and-home,https://www.utas.edu.au/profiles/staff/cose-ted/georgia-lindsay
